sample_id,species,location,source
Aten0457,Acropora kenti,Orpheus Island,doi.org/10.1111/eva.13481
Aten0459,Acropora kenti,Orpheus Island,doi.org/10.1111/eva.13482
Aten0460,Acropora kenti,Orpheus Island,doi.org/10.1111/eva.13483
Aten0467,Acropora kenti,Orpheus Island,doi.org/10.1111/eva.13484
Aten0468,Acropora kenti,Orpheus Island,doi.org/10.1111/eva.13485
Aten1486,Acropora kenti,No Name,doi.org/10.1111/eva.13468
Aten1494,Acropora kenti,No Name,doi.org/10.1111/eva.13469
Aten1768,Acropora kenti,One Tree Island,doi.org/10.1111/eva.13531
Aten1769,Acropora kenti,One Tree Island,doi.org/10.1111/eva.13532
Aten1770,Acropora kenti,One Tree Island,doi.org/10.1111/eva.13533
Aten1772,Acropora kenti,One Tree Island,doi.org/10.1111/eva.13534
Aten1851,Acropora kenti,Heron Island,doi.org/10.1111/eva.13524
Aten1852,Acropora kenti,Heron Island,doi.org/10.1111/eva.13525
Aten1853,Acropora kenti,Heron Island,doi.org/10.1111/eva.13526
Aten1861,Acropora kenti,Heron Island,doi.org/10.1111/eva.13527
Aten1863,Acropora kenti,Heron Island,doi.org/10.1111/eva.13528
Aten1864,Acropora kenti,Heron Island,doi.org/10.1111/eva.13529
Aten1866,Acropora kenti,Heron Island,doi.org/10.1111/eva.13530
Aten2084,Acropora kenti,Recreation Reef,doi.org/10.1111/eva.13510
Aten2090,Acropora kenti,Recreation Reef,doi.org/10.1111/eva.13511
Aten2092,Acropora kenti,Recreation Reef,doi.org/10.1111/eva.13512
Aten2093,Acropora kenti,Recreation Reef,doi.org/10.1111/eva.13513
Aten2099,Acropora kenti,Recreation Reef,doi.org/10.1111/eva.13514
Aten2266,Acropora kenti,Frigate Reef,doi.org/10.1111/eva.13515
Aten2267,Acropora kenti,Frigate Reef,doi.org/10.1111/eva.13516
Aten2283,Acropora kenti,Frigate Reef,doi.org/10.1111/eva.13517
Aten2288,Acropora kenti,Frigate Reef,doi.org/10.1111/eva.13518
Aten2297,Acropora kenti,Frigate Reef,doi.org/10.1111/eva.13519
Aten2313,Acropora kenti,Great Keppel,doi.org/10.1111/eva.13520
Aten2316,Acropora kenti,Great Keppel,doi.org/10.1111/eva.13521
Aten2317,Acropora kenti,Great Keppel,doi.org/10.1111/eva.13522
Aten2322,Acropora kenti,Great Keppel,doi.org/10.1111/eva.13523
Aten2325,Acropora kenti,Wilkie Reef,doi.org/10.1111/eva.13459
Aten2331,Acropora kenti,Wilkie Reef,doi.org/10.1111/eva.13460
Aten2332,Acropora kenti,Wilkie Reef,doi.org/10.1111/eva.13461
Aten2347,Acropora kenti,Wilkie Reef,doi.org/10.1111/eva.13462
Aten2352,Acropora kenti,Wilkie Reef,doi.org/10.1111/eva.13463
Aten2381,Acropora kenti,Night Reef,doi.org/10.1111/eva.13454
Aten2383,Acropora kenti,Night Reef,doi.org/10.1111/eva.13455
