Chr,ahya_10k,aken_10k,aspat_10k,ahya_1k,aken_1k,aspat_1k,ahya_20k,aken_20k,aspat_20k,ahya_2k,aken_2k,aspat_2k,ahya_500,aken_500,aspat_500,ahya_5k,aken_5k,aspat_5k,informative_sites
uce-111006,17879,5490,18836,1817,804,1802,34613,10312,31885,3351,1686,3288,1058,667,769,9106,3393,9486,2088
uce-111007,15657,14087,13082,2153,1956,2142,30474,18722,30589,3724,3807,3599,1125,1070,1116,8422,8608,6793,2779
uce-111031,16638,8957,17803,2109,1039,2159,29855,13550,31773,3789,2063,4159,740,611,1159,8798,5047,10086,1069
uce-111070,8333,3399,8103,2159,1530,2159,1400,855,2015,4158,2558,4040,1156,810,1159,8896,4492,8992,587
uce-111074,17645,6851,18004,2026,1206,2061,31188,14667,30312,3938,1558,4106,1158,801,1158,9149,1951,9279,749
uce-111079,18118,9368,19136,1686,1388,1399,35723,18923,37307,3551,1917,3551,749,830,749,9397,4694,9599,1855
uce-111094,16586,9323,15145,2145,1152,2044,31957,15625,32311,3681,3012,3871,1145,506,1157,9111,6130,8713,1381
uce-111109,14556,6505,16604,2159,1006,2146,28731,10427,29389,4159,1550,3888,1142,585,1157,9340,2393,8560,908
uce-11112,14833,6125,15615,1975,1261,1978,30783,11137,30621,3766,2197,3951,963,535,978,7952,3307,7968,1439
uce-11113,14721,7383,16406,1647,843,1851,30999,10514,30738,3954,1837,3944,983,495,1155,9424,3796,9292,983
uce-111130,18851,10087,18815,2153,1392,2159,33775,18296,35480,4150,2437,4157,1158,616,1159,10037,5019,10072,914
uce-11114,13262,9733,15294,1210,1325,2154,27983,12149,25342,2433,2544,4154,712,515,1156,7918,5609,9713,1386
uce-111163,3915,1370,3408,2080,1582,2148,3608,887,3911,3809,1333,3902,1003,1001,1159,3719,1374,3808,1764
uce-111171,18748,7601,17990,1805,1095,1805,36921,18442,34986,4036,1985,3911,1006,477,1011,9103,4405,9685,1197
uce-111203,9465,5069,10344,2054,1034,2073,7837,3477,7734,4146,2099,4134,1065,498,1066,8906,6188,9155,1437
uce-111204,9504,5896,10230,2022,893,2045,1755,5295,2283,3755,2202,3956,1159,568,1149,9525,5302,9654,1038
uce-111282,12304,4087,11604,2113,1438,2116,12197,3257,9705,3759,1976,3819,1145,885,1155,9372,3872,9656,489
uce-111293,18095,10537,19960,2159,1216,2109,35829,17318,37028,4159,2606,4118,1159,760,1159,9768,5804,10097,995
uce-111294,17176,5518,17663,1737,558,2063,32078,8513,35326,3685,456,4068,1159,463,1159,9330,3199,10077,1722
uce-111295,16921,6171,16064,1903,1378,1179,28902,14135,29064,3611,1578,3305,679,745,671,9136,3082,8370,2008
uce-111297,15946,6576,16518,1687,1185,2159,16493,5109,14974,2631,2543,4002,993,860,1159,7265,5368,9442,817
uce-11132,19376,3356,19129,2159,802,2159,37828,9796,34545,4159,1408,4159,1159,584,1159,9600,2263,9622,643
uce-111341,17915,5681,16249,2158,1543,2118,27711,8477,26727,3959,2578,4047,1158,879,1151,9439,4132,8666,661
uce-111346,16588,6444,16730,2087,788,2119,23303,7799,25293,3981,1810,3886,1159,576,1159,9343,2884,9230,1825
uce-111353,4204,2708,4387,2102,798,2136,4430,2143,3918,4079,1495,4057,1156,694,1155,5019,2794,4574,1438
uce-11136,16425,5737,15847,2089,1546,2046,24294,7267,17800,4098,2534,4094,1159,870,1158,9371,4365,7356,3206
uce-111368,16751,10487,15547,2106,1572,2064,31583,15787,31135,3676,1984,3479,1159,631,1159,7481,5976,7208,1710
uce-111384,19707,5200,19338,2159,1253,2159,36823,10605,34903,4121,1586,4158,1159,774,1159,9885,2045,9644,831
uce-111387,19561,9844,19487,2159,1550,2159,25027,12166,24772,3950,2518,4041,1159,835,1159,9386,6367,9363,1377
uce-111403,12440,7305,13454,1990,1129,1574,18299,3246,14725,3912,2147,3350,1141,571,845,8923,4312,9179,1230
uce-11143,16559,6470,17825,2089,1133,1323,28335,13288,29347,4019,2244,3518,1109,636,778,9849,4453,9657,1905
uce-111453,16925,12352,16616,2113,1835,2084,16677,10302,14561,4003,2913,3822,1124,963,1110,9881,6487,9824,758
uce-111500,10047,5694,11331,1993,1303,1891,11092,5807,11540,3724,2436,3527,1119,451,1158,7223,4406,7665,2152
uce-111512,19855,5279,19770,2159,617,2159,38568,7922,38110,4137,768,4142,1158,555,1159,9926,2256,9897,602
uce-111524,15035,5836,13659,1709,716,2118,26051,16375,22775,3338,2166,3506,1096,650,1112,7444,4037,8490,1898
uce-111550,18712,9027,19002,1972,1476,2027,27318,11345,27166,3926,2005,4098,1143,891,1147,9091,4548,9798,978
uce-111553,13962,9345,19156,1848,1723,1834,29916,15207,36010,3614,3215,3901,928,1048,1011,9086,5873,9537,2085
uce-111565,19300,12839,18399,2148,1676,2024,22811,24353,22334,4116,3026,4133,1110,945,1093,9828,6841,9823,671
uce-111575,12745,9350,11128,1926,1229,1904,12053,11020,10430,3213,2064,3518,1003,724,966,8065,5789,7756,563
uce-11159,9737,4780,15313,2155,1567,2161,11019,3449,15248,4094,3271,4161,1158,700,1161,8787,5512,9709,670
uce-111633,14925,10297,16230,1079,1425,1973,31046,21108,32101,1548,2751,3888,768,650,963,7010,6175,9199,1765
uce-111644,17835,8901,18495,2115,1132,2138,31356,13311,32359,4117,1687,4147,1159,714,1159,9432,3788,10093,679
uce-111645,15139,7720,17026,1954,1249,1782,28911,11379,27120,3579,2136,3596,998,762,990,7932,4876,8703,950
uce-111649,8233,1845,3283,1384,930,2140,9013,1468,2875,2822,1362,3768,871,744,833,4904,1906,3591,877
uce-111701,16115,7562,15923,2103,1471,2091,33118,11595,33906,4094,2406,4090,1157,1095,1090,8732,5134,8364,2382
uce-111707,11482,10025,11919,2156,1606,2145,20760,14282,17926,3418,2991,3579,1152,1064,1159,8537,6305,8537,518
uce-111715,19096,8578,19847,1904,1647,2157,35574,18524,37329,3886,2518,4157,972,828,1153,9194,5017,9930,3788
uce-111744,19482,9247,18775,2159,1662,2159,35902,16546,36023,4159,3046,4159,1159,1056,1159,10142,4449,10157,669
uce-111754,18196,7770,16539,2111,950,2044,32299,14871,31377,4123,2128,3836,1161,463,1080,9372,5361,8785,971
uce-111762,16796,4946,17475,2134,1322,1954,34502,11307,35862,3712,1361,3654,1149,731,1111,9238,3435,8699,1137
uce-111801,16654,9174,17708,2138,1432,2158,16625,3263,17330,4139,3048,4157,1157,765,1141,10067,5621,10132,1089
uce-111868,18149,7855,18414,1876,1803,1894,34704,14563,35306,3650,2954,3546,882,1001,863,9623,5046,9507,1310
uce-111870,9210,4181,11334,2044,1016,2157,9583,5797,12232,3910,1356,3872,1010,701,1118,8177,2982,8358,1998
uce-111876,18627,9540,19523,1525,1257,2159,33120,15725,34395,3767,2106,4158,748,675,1159,9318,5289,10003,1091
uce-111888,3714,1059,3676,1967,1312,1759,3587,3243,2918,3852,2080,3742,967,562,750,3530,2620,3170,1325
uce-111934,17507,5045,16988,1653,1427,1832,32265,10393,30685,3589,2647,3647,714,905,901,9166,4905,9496,1107
uce-111951,16589,11181,18369,1960,1780,1865,34281,14574,33503,3288,2925,3525,1134,1028,1159,7163,7802,8573,2804
uce-111969,19404,3594,19628,2159,970,2160,37693,9950,38239,4159,1765,4159,1159,473,1160,10149,2275,10158,801
uce-112003,17480,9589,18712,2156,1022,2129,30736,14499,33645,4052,1577,4152,1159,904,1158,9721,4561,9733,1011
uce-112065,12679,6148,16524,1623,1302,1832,25738,7912,31930,2722,1948,3865,991,680,1002,5284,4026,9049,1580
uce-112067,6747,3482,6769,1983,1556,1795,7584,1182,7809,3990,2376,3631,1159,609,882,6816,3776,6700,1597
uce-112068,5515,3125,5957,1806,1424,1559,5706,2731,5572,3897,2819,3229,676,653,679,5816,3371,5818,1196
uce-112122,10029,6069,10612,2122,520,1960,10760,4328,14114,3864,1177,3539,1159,562,1159,8301,3837,7872,753
uce-112125,17089,6265,15789,2099,941,1990,31781,13607,29134,3616,1784,3388,1074,483,859,9455,2672,8260,917
uce-112126,13170,3618,13402,1948,999,2159,11695,4704,12708,3774,1230,4158,1092,796,1159,9538,3365,9789,1612
uce-112129,7801,5531,9013,1956,1358,1952,6773,5519,8734,3712,1739,3749,1060,837,1060,8913,4139,9415,1456
uce-112157,18956,8829,19639,1839,1443,2159,24364,12695,23754,3903,2918,4154,929,711,1159,9827,4836,10095,2063
uce-112159,11179,4847,11586,2159,1450,2159,10201,5735,9826,4159,2053,4159,1159,905,1159,10148,3174,10157,591
uce-112161,5032,5061,10135,2029,870,2016,9589,4663,10543,3771,2029,3740,1158,652,1158,7333,3662,8795,1873
uce-112165,19433,7856,19217,2159,1463,2159,34595,14572,34454,4157,1682,4158,1159,1025,1159,9916,3969,10127,666
uce-11217,13170,5426,17429,1360,862,1388,14475,4932,19709,3137,1223,3116,773,638,773,7132,3390,8270,1748
uce-112176,2605,1593,2264,2158,1793,2115,2399,1140,2406,2638,2064,2496,1157,971,1158,2601,2087,2576,582
uce-112202,17697,7962,18014,2144,1327,2159,35303,11196,36069,4040,1630,4159,1159,1103,1159,9498,4770,9432,1631
uce-112235,17232,7018,18379,2159,1746,1863,34223,14495,35213,4121,2430,4097,1159,978,1078,8761,4076,10153,878
uce-112251,19006,5212,19619,2151,1010,2154,31837,12692,37777,3557,1408,4141,1159,873,1159,9379,2766,10124,902
uce-112263,16446,8671,16911,1937,1231,1776,29453,13349,31147,3563,2541,3325,864,929,771,8882,3389,8889,730
uce-112322,16240,9492,16434,1644,1497,1697,30146,14501,30739,3904,2860,3969,835,848,836,9177,5519,9205,1577
uce-112327,16068,7399,17574,1779,1601,1936,32892,13130,34909,3231,2570,3783,1022,943,1033,7848,3679,9526,901
uce-112351,13639,6769,14833,1498,1430,1603,13706,6090,14224,2845,3108,3480,851,730,783,9052,4868,9684,1355
uce-112363,19681,4438,19856,2159,567,2159,33669,10696,35150,4159,568,4159,1159,539,1159,9982,1567,10156,533
uce-112534,8114,2867,8231,1543,1073,1568,7625,2559,8322,3625,2467,3813,850,674,965,9217,5004,9581,1447
uce-112552,19844,9023,19313,2158,1122,2156,38583,13424,38245,4089,2157,4000,1152,715,1147,10001,4622,10046,2313
uce-112555,5963,3562,6034,2004,1742,2061,5720,2337,5926,4133,3494,4157,1002,796,912,5427,3497,5536,576
uce-112556,18655,10016,18067,2121,1057,2018,34121,16358,36138,4004,3081,3954,1078,964,1028,9876,5374,9433,1156
uce-112557,18392,7681,18553,2147,962,2148,37552,11457,37476,3879,2093,4065,1131,461,1141,9751,4016,9692,1454
uce-112586,16481,8803,18008,1124,1783,1996,29669,13164,33391,3142,3706,3651,607,958,978,8893,5828,9604,943
uce-112666,17447,7014,17445,1153,1706,1402,32008,10201,32409,2294,2924,3451,523,811,823,7785,4925,9372,1887
uce-112718,2579,1701,2133,1623,1570,1662,4098,2005,3740,3856,2599,4111,932,650,927,3266,1690,3932,1097
uce-11272,8600,5207,9127,1314,1634,1137,8850,1916,9557,3851,3083,3083,550,713,556,9211,4887,9169,907
uce-112721,3551,3557,3019,2150,1530,1840,3823,3056,4070,3250,2719,2886,1157,1002,1159,2722,2539,1848,966
uce-112723,19560,5174,19932,2158,1410,2159,35019,8994,35764,4158,2007,4159,1159,984,1159,10132,3280,10140,2305
uce-112724,18923,8611,18854,1986,704,2100,36141,14673,34393,4105,2063,4140,1101,523,1060,9639,4782,9508,1318
uce-112726,19934,10302,20133,2149,839,2155,38322,16600,37151,4147,1699,4130,1146,540,1151,10140,4446,10134,1122
uce-112741,18825,9747,18564,2158,1735,2159,29865,11299,36752,3890,2564,3882,1159,866,1159,9372,6059,9283,1242
uce-11279,9455,6182,9615,1811,1180,1958,5216,4231,8106,4091,2519,4135,791,675,829,9610,5183,9724,1660
uce-1128,6799,4577,8869,1982,1246,1986,6500,4498,7760,3385,2410,3517,1114,517,1112,7891,4496,9191,1820
uce-112801,18305,4297,18611,1788,1447,1922,35126,8272,35189,3199,2076,3489,885,1083,989,8866,2708,9087,855
uce-112834,19701,5479,19383,2106,1023,2112,34231,16749,33976,3703,2097,4119,1159,603,1159,9947,3414,10105,614
uce-112859,3508,1852,3428,2071,1195,2012,4138,1884,3976,4137,2180,3990,1098,472,1063,4160,791,3956,547
uce-112867,18702,8242,18829,2018,1630,2159,33647,13598,33179,3838,2980,3954,1027,904,1159,9458,5305,10067,3323
uce-112877,16476,10303,17937,1790,1002,2159,29704,21077,32675,3767,2294,3952,986,639,1159,8880,4728,9378,1013
uce-11288,13878,3812,15260,2140,843,2075,4144,2383,5947,4131,1789,4094,1159,561,1051,9318,2941,9012,890
uce-112886,17506,8697,18111,2099,1421,2106,27603,13017,31695,4021,2561,4092,1100,813,1110,9635,5212,9155,1335
uce-11290,11731,5778,16405,2061,736,2011,13184,2762,16979,4150,1466,4156,1157,702,1159,7732,4302,9037,911
uce-112958,10278,5038,14006,2153,1515,1959,9931,6345,14294,3990,2096,3942,1122,840,1132,9245,4602,9631,1463
uce-113054,12877,8480,16487,1935,1751,1647,28103,14876,24917,4049,3608,3303,890,1005,887,9683,7100,8743,1640
uce-113069,19603,2969,19002,2159,631,2159,36964,10286,35762,4153,633,4159,1159,548,1159,9845,1134,10157,784
uce-113104,19128,5923,19242,1950,1724,1908,25598,9969,25202,4056,2984,3938,908,995,868,9399,3014,10016,1014
uce-113128,15830,8179,15937,1911,1520,1918,28249,12498,30177,3130,2636,3750,1158,656,1154,6715,3833,9209,1050
uce-113154,15502,1695,7469,2053,807,2099,9071,1824,6309,3820,1377,4040,1035,555,1125,8874,1836,7440,831
uce-113193,12592,6825,18728,2041,1289,2036,14582,13530,26898,3129,2018,3888,1159,964,1159,8718,4583,9705,942
uce-113200,18527,6321,18637,2157,746,2157,34278,8722,35359,4158,1095,4158,1077,668,1094,9713,3385,9974,1724
uce-11324,17918,6995,18581,2158,1210,2159,28542,12238,29270,4124,2068,4133,1158,964,1159,9530,3426,9548,878
uce-113240,15483,7762,16530,1985,1434,2038,28543,14114,29880,4157,2932,4127,1155,864,1150,8664,5574,9597,586
uce-113272,16782,5258,17004,1863,1582,1941,32792,10947,35140,3346,2202,4080,851,618,931,8862,3049,9539,1404
uce-113279,4554,2604,4626,2159,1735,2050,2028,3751,3396,3856,2608,3793,1158,1008,1151,3548,2827,4162,988
uce-113282,18108,10301,19153,2032,1141,2040,34973,14578,35125,4136,2037,4037,1158,836,1158,9329,5815,9511,698
uce-113293,16515,6802,17546,1652,1653,2038,15528,6427,16648,4068,2190,4064,1121,766,1065,9950,5095,9869,2855
uce-113337,19298,6708,19616,2147,1093,2159,31791,16594,32390,4157,1766,4159,1159,648,1159,9704,3084,10159,504
uce-113405,13249,7671,18075,2086,1373,2092,15810,7651,17246,3933,1686,3986,1158,747,1159,8916,3779,9339,609
uce-113437,19654,8438,19121,2157,1747,2159,35661,15870,37817,4154,2931,4140,1158,1021,1159,9965,5345,10146,1709
uce-113461,8812,2418,8577,2009,1329,2022,8880,3518,8565,4118,1736,4154,1038,834,1068,9523,4173,9106,784
uce-113462,7852,1490,7998,2113,1307,1889,6574,4207,7696,4064,2617,3389,920,639,1031,7767,3571,7294,1134
uce-113465,18471,7674,18214,2157,1829,2159,33469,14628,36867,4121,2724,4159,1159,974,1159,9748,4671,9681,1389
uce-113496,13344,6646,14148,1523,906,1692,21141,12222,22179,3425,2475,3557,1117,672,1104,8188,4593,9072,1968
uce-113545,16495,6255,16244,1588,1270,1478,17930,4920,16795,3176,2042,3200,1035,934,1030,8633,4258,8727,1935
uce-11356,18830,5679,19056,2157,1560,2159,34133,9117,36691,4154,2451,4122,1157,1056,1138,10111,3618,10151,812
uce-113561,19033,3826,19155,2167,1018,2167,30923,8958,32293,4165,1057,4167,1167,510,1167,10157,2364,10167,520
